picture_id,metadata_name,metadata_surname,metadata_nationality,metadata_country,metadata_capital,metadata_longitude,metadata_latitude
317736,Jean-Nicolas,Sobre,Argentinian,Argentina,Buenos Aires,-63.62,-38.41
2006789014,Josef,Abel,Austrian,Austria,Vienna,14.55,47.52
24123,Joseph,Aigner,Austrian,Austria,Vienna,14.55,47.52
24122,Joseph,Aigner,Austrian,Austria,Vienna,14.55,47.52
2549,Rudolf Ritter von,Alt,Austrian,Austria,Vienna,14.55,47.52
103231,Rudolf von,Alt,Austrian,Austria,Vienna,14.55,47.52
6240,Rudolf Ritter von,Alt,Austrian,Austria,Vienna,14.55,47.52
2010683359,Rudolf von,Alt,Austrian,Austria,Vienna,14.55,47.52
15730,Ludwig,Angerer,Austrian,Austria,Vienna,14.55,47.52
15732,Ludwig,Angerer,Austrian,Austria,Vienna,14.55,47.52
15731,Ludwig,Angerer,Austrian,Austria,Vienna,14.55,47.52
15733,Ludwig,Angerer,Austrian,Austria,Vienna,14.55,47.52
2010683382,Ludwig,Angerer,Austrian,Austria,Vienna,14.55,47.52
2006968378,Adam von,Bartsch,Austrian,Austria,Vienna,14.55,47.52
20237,Joseph,Berres,Austrian,Austria,Vienna,14.55,47.52
22244,Tina,Blau,Austrian,Austria,Vienna,14.55,47.52
20982,Tina,Blau,Austrian,Austria,Vienna,14.55,47.52
11415,Tina,Blau-Lang,Austrian,Austria,Vienna,14.55,47.52
342739,Moritz Michael,Daffinger,Austrian,Austria,Vienna,14.55,47.52
11467,Franz von,Defregger,Austrian,Austria,Vienna,14.55,47.52
10365,Franz von,Defregger,Austrian,Austria,Vienna,14.55,47.52
5095,Franz von,Defregger,Austrian,Austria,Vienna,14.55,47.52
14378,Franz von,Defregger,Austrian,Austria,Vienna,14.55,47.52
4944,Franz von,Defregger,Austrian,Austria,Vienna,14.55,47.52
320132,Franz von,Defregger,Austrian,Austria,Vienna,14.55,47.52
11482,Johann Georg,Edlinger,Austrian,Austria,Vienna,14.55,47.52
9808,Johann Georg,Edlinger,Austrian,Austria,Vienna,14.55,47.52
20986,Marie,Egner,Austrian,Austria,Vienna,14.55,47.52
26094,Thomas,Ender,Austrian,Austria,Vienna,14.55,47.52
26092,Thomas,Ender,Austrian,Austria,Vienna,14.55,47.52
26093,Thomas,Ender,Austrian,Austria,Vienna,14.55,47.52
26090,Thomas,Ender,Austrian,Austria,Vienna,14.55,47.52
26091,Thomas,Ender,Austrian,Austria,Vienna,14.55,47.52
26087,Thomas,Ender,Austrian,Austria,Vienna,14.55,47.52
26086,Eduard,Ender,Austrian,Austria,Vienna,14.55,47.52
26089,Thomas,Ender,Austrian,Austria,Vienna,14.55,47.52
26088,Thomas,Ender,Austrian,Austria,Vienna,14.55,47.52
11494,Rudolf,Epp,Austrian,Austria,Vienna,14.55,47.52
312025,Heinrich,Ferstel,Austrian,Austria,Vienna,14.55,47.52
312008,Heinrich,Ferstel,Austrian,Austria,Vienna,14.55,47.52
312006,Heinrich,Ferstel,Austrian,Austria,Vienna,14.55,47.52
312059,Heinrich,Ferstel,Austrian,Austria,Vienna,14.55,47.52
312058,Heinrich,Ferstel,Austrian,Austria,Vienna,14.55,47.52
10976,Heinrich von,Ferstel,Austrian,Austria,Vienna,14.55,47.52
312060,Heinrich,Ferstel,Austrian,Austria,Vienna,14.55,47.52
312061,Heinrich,Ferstel,Austrian,Austria,Vienna,14.55,47.52
11507,Johann,Fischbach,Austrian,Austria,Vienna,14.55,47.52
5252,Josef von,Führich,Austrian,Austria,Vienna,14.55,47.52
14268,Josef von,Führich,Austrian,Austria,Vienna,14.55,47.52
319712,Joseph,Führich,Austrian,Austria,Vienna,14.55,47.52
14247,Josef von,Führich,Austrian,Austria,Vienna,14.55,47.52
14248,Josef von,Führich,Austrian,Austria,Vienna,14.55,47.52
5251,Josef von,Führich,Austrian,Austria,Vienna,14.55,47.52
5486,Josef von,Führich,Austrian,Austria,Vienna,14.55,47.52
6221,Richard,Gerstl,Austrian,Austria,Vienna,14.55,47.52
6226,Richard,Gerstl,Austrian,Austria,Vienna,14.55,47.52
6227,Richard,Gerstl,Austrian,Austria,Vienna,14.55,47.52
6224,Richard,Gerstl,Austrian,Austria,Vienna,14.55,47.52
6225,Richard,Gerstl,Austrian,Austria,Vienna,14.55,47.52
6229,Richard,Gerstl,Austrian,Austria,Vienna,14.55,47.52
6222,Richard,Gerstl,Austrian,Austria,Vienna,14.55,47.52
6228,Richard,Gerstl,Austrian,Austria,Vienna,14.55,47.52
9016,Josef,Grassi,Austrian,Austria,Vienna,14.55,47.52
9017,Josef,Grassi,Austrian,Austria,Vienna,14.55,47.52
9018,Josef,Grassi,Austrian,Austria,Vienna,14.55,47.52
311865,Sebastian,Gutzwiller,Austrian,Austria,Vienna,14.55,47.52
