picture_id,cluster_id,cluster_rank
100,18,1
100,3,2
100,45,3
100,70,4
1000,45,1
1000,12,2
1000,84,3
1000,64,4
10000,106,1
10000,31,2
10000,64,3
10000,34,4
100001,88,1
100001,27,2
100001,13,3
100001,10,4
100002,15,1
100002,85,2
100002,55,3
100002,45,4
100004,94,1
100004,93,2
100004,60,3
100004,43,4
100006,1,1
100006,69,2
100006,79,3
100006,97,4
10001,22,1
10001,81,2
10001,45,3
10001,49,4
10002,55,1
10002,43,2
10002,1,3
10002,84,4
100022,15,1
100022,38,2
100022,26,3
100022,96,4
10005,13,1
10005,70,2
10005,0,3
10005,63,4
10006,70,1
10006,0,2
10006,80,3
10006,57,4
10007,80,1
10007,70,2
10007,0,3
10007,13,4
1001,22,1
1001,49,2
1001,94,3
1001,48,4
10010,97,1
10010,69,2
10010,75,3
10010,9,4
10013,6,1
10013,96,2
10013,97,3
10013,64,4
10015,18,1
10015,49,2
10015,28,3
10015,109,4
10016,84,1
10016,17,2
10016,47,3
10016,79,4
10017,3,1
10017,8,2
10017,9,3
10017,44,4
10018,87,1
10018,8,2
10018,84,3
10018,90,4
10019,12,1
10019,55,2
10019,64,3
10019,95,4
1002,48,1
1002,89,2
1002,94,3
1002,17,4
10020,109,1
10020,4,2
10020,28,3
10020,59,4
10021,77,1
10021,45,2
10021,57,3
10021,108,4
10022,60,1
10022,27,2
10022,37,3
10022,95,4
10023,35,1
10023,50,2
10023,0,3
10023,10,4
10024,27,1
10024,10,2
10024,0,3
10024,100,4
10025,41,1
10025,51,2
10025,98,3
10025,77,4
10026,60,1
10026,23,2
10026,27,3
10026,95,4
10027,74,1
10027,35,2
10027,51,3
10027,50,4
10028,51,1
10028,70,2
10028,17,3
10028,19,4
10029,38,1
10029,12,2
10029,6,3
10029,106,4
1003,48,1
1003,49,2
1003,71,3
1003,65,4
10030,38,1
10030,30,2
10030,4,3
10030,13,4
10031,29,1
10031,30,2
10031,13,3
10031,4,4
100312,5,1
100312,46,2
100312,63,3
100312,10,4
100313,52,1
100313,19,2
100313,65,3
100313,39,4
100314,58,1
100314,72,2
100314,14,3
100314,26,4
100315,83,1
100315,72,2
100315,85,3
100315,70,4
100317,86,1
100317,61,2
100317,27,3
100317,14,4
10032,86,1
10032,13,2
10032,60,3
10032,46,4
100324,32,1
100324,27,2
100324,0,3
100324,14,4
100326,3,1
100326,5,2
100326,79,3
100326,27,4
100327,52,1
