picture_id,mid_year,cluster_id,cluster_rank
5988,1892,31,1
5988,1892,63,2
5988,1892,50,3
5988,1892,109,4
5989,1891,102,1
5989,1891,31,2
5989,1891,51,3
5989,1891,64,4
5982,1888,49,1
5982,1888,59,2
5982,1888,31,3
5982,1888,77,4
5983,1886,88,1
5983,1886,77,2
5983,1886,51,3
5983,1886,102,4
5980,1892,44,1
5980,1892,102,2
5980,1892,3,3
5980,1892,91,4
5981,1891,102,1
5981,1891,28,2
5981,1891,9,3
5981,1891,4,4
5986,1897,102,1
5986,1897,31,2
5986,1897,19,3
5986,1897,45,4
5987,1902,102,1
5987,1902,31,2
5987,1902,103,3
5987,1902,45,4
5984,1902,102,1
5984,1902,3,2
5984,1902,45,3
5984,1902,17,4
5985,1889,68,1
5985,1889,75,2
5985,1889,84,3
5985,1889,95,4
271,1849,81,1
271,1849,89,2
271,1849,55,3
271,1849,103,4
272,1849,55,1
272,1849,64,2
272,1849,103,3
272,1849,104,4
273,1866,91,1
273,1866,44,2
273,1866,55,3
273,1866,5,4
274,1851,46,1
274,1851,0,2
274,1851,100,3
274,1851,23,4
275,1847,84,1
275,1847,90,2
275,1847,71,3
275,1847,36,4
276,1862,108,1
276,1862,37,2
276,1862,103,3
276,1862,19,4
277,1851,65,1
277,1851,76,2
277,1851,84,3
277,1851,90,4
278,1851,23,1
278,1851,63,2
278,1851,0,3
278,1851,100,4
279,1856,68,1
279,1856,73,2
279,1856,87,3
279,1856,70,4
16707,1870,21,1
16707,1870,42,2
16707,1870,107,3
16707,1870,8,4
16706,1870,42,1
16706,1870,38,2
16706,1870,21,3
16706,1870,62,4
16700,1870,8,1
16700,1870,90,2
16700,1870,65,3
16700,1870,94,4
16703,1870,42,1
16703,1870,59,2
16703,1870,4,3
16703,1870,55,4
16702,1870,29,1
16702,1870,4,2
16702,1870,109,3
16702,1870,107,4
17258,1916,7,1
17258,1916,98,2
17258,1916,37,3
17258,1916,85,4
17252,1915,7,1
17252,1915,89,2
17252,1915,98,3
17252,1915,94,4
17253,1908,42,1
17253,1908,91,2
17253,1908,68,3
17253,1908,69,4
17254,1914,7,1
17254,1914,95,2
17254,1914,77,3
17254,1914,46,4
17257,1916,7,1
17257,1916,98,2
17257,1916,105,3
17257,1916,85,4
10709,1898,93,1
10709,1898,97,2
10709,1898,95,3
10709,1898,52,4
10708,1898,93,1
10708,1898,17,2
10708,1898,97,3
10708,1898,9,4
10703,1859,59,1
10703,1859,77,2
10703,1859,38,3
10703,1859,35,4
10702,1896,2,1
10702,1896,73,2
10702,1896,46,3
10702,1896,72,4
10701,1897,12,1
10701,1897,72,2
10701,1897,39,3
10701,1897,67,4
10700,1859,27,1
10700,1859,105,2
10700,1859,45,3
10700,1859,10,4
10707,1859,59,1
10707,1859,27,2
10707,1859,82,3
10707,1859,38,4
10706,1861,108,1
10706,1861,23,2
10706,1861,45,3
10706,1861,27,4
10705,1862,59,1
10705,1862,23,2
10705,1862,13,3
10705,1862,63,4
10704,1858,59,1
10704,1858,23,2
10704,1858,105,3
10704,1858,50,4
19390,1914,8,1
19390,1914,97,2
19390,1914,17,3
19390,1914,11,4
27619,1865,8,1
27619,1865,55,2
